ticker,denom,decimals,token_type
INJ,inj,18,native_token
USDT,peggy0xdAC17F958D2ee523a2206206994597C13D831ec7,6,native_token
USDC,ibc/2CBC2EA121AE42563B08028466F37B600F2D7D4282342DE938283CC3FB2BC00E,6,native_token
ATOM,ibc/C4CFF46FD6DE35CA4CF4CE031E643C8FDC9BA4B99AE598E9B0ED98FE3A2319F9,6,native_token
SOL,ibc/A8B0B746B5AB736C2D8577259B510D56B8AF598008F68041E3D634BCDE72BE97,8,native_token
TIA,ibc/F51BB221BAA275F2EBF654F70B005627D7E713AFFD6D86AFD1E43CAA886149F4,6,native_token
WETH,peggy0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,native_token
AUSD,factory/inj1n636d9gzrqggdk66n2f97th0x8yuhfrtx520e7/ausd,6,native_token
NEPT,factory/inj1v3a4zznudwpukpr8y987pu5gnh4xuf7v36jhva/nept,6,native_token
hINJ,inj18luqttqyckgpddndh8hvaq25d5nfwjc78m56lc,18,token
nINJ,inj1rmzufd7h09sqfrre5dtvu5d09ta7c0t4jzkr2f,18,token
nUSDT,inj1cy9hes20vww2yr6crvs75gxy5hpycya2hmjg9s,6,token
nUSDC,inj1dafy7fv7qczzatd98dv8hekx6ssckrflswpjaz,6,token
nSOL,inj1zcwr03uqw57g88nqvgpwfkazwutpqz9kplny4s,8,token
nATOM,inj16jf4qkcarp3lan4wl2qkrelf4kduvvujwg0780,6,token
nWETH,inj1kehk5nvreklhylx22p3x0yjydfsz9fv3fvg5xt,18,token
nAUSD,inj1tkuemghm734h9qy8fh2eu0qp9hyfdlws0llt8g,6 ,token
nTIA,inj1fzquxxxam59z6fzewy2hvvreeh3m04x83zg4vv,6,token
